round_epochs,loss,accuracy,val_loss,val_accuracy,dropout,dense,activation1,activation2
5,0.23710833489894867,0.9079173803329468,0.2420942336320877,0.9065750241279602,0.25,10,relu,sigmoid
5,0.23659084737300873,0.910631537437439,0.24031701683998108,0.9058284163475037,0.25,10,relu,tanh
5,0.24092185497283936,0.9041550755500793,0.23811236023902893,0.9064977765083313,0.25,10,elu,sigmoid
5,0.25549837946891785,0.8970717787742615,0.24651741981506348,0.9060859084129333,0.25,10,elu,tanh
5,0.1988060027360916,0.9286707043647766,0.24395973980426788,0.9068067073822021,0.25,50,relu,sigmoid
5,0.19804459810256958,0.9274129271507263,0.23856119811534882,0.9079394340515137,0.25,50,relu,tanh
5,0.23225905001163483,0.9097047448158264,0.23619548976421356,0.9055194854736328,0.25,50,elu,sigmoid
5,0.2509121298789978,0.9010216593742371,0.2434578239917755,0.9044897556304932,0.25,50,elu,tanh
5,0.17910772562026978,0.935974657535553,0.2427302896976471,0.906909704208374,0.25,100,relu,sigmoid
5,0.1861007958650589,0.9340769648551941,0.2378002107143402,0.9073988199234009,0.25,100,relu,tanh
5,0.2311367690563202,0.9087779521942139,0.23879006505012512,0.904824435710907,0.25,100,elu,sigmoid
5,0.26013925671577454,0.8977999687194824,0.2440004199743271,0.9053393006324768,0.25,100,elu,tanh
5,0.13375972211360931,0.9531422257423401,0.28943848609924316,0.9064977765083313,0.25,500,relu,sigmoid
5,0.1764208972454071,0.9472505450248718,0.3858751356601715,0.9053650498390198,0.25,500,relu,tanh
5,0.2329489290714264,0.9096385836601257,0.239140585064888,0.9054937958717346,0.25,500,elu,sigmoid
5,2.3126296997070312,0.8484487533569336,1.6512818336486816,0.8916177749633789,0.25,500,elu,tanh
5,0.2839754819869995,0.8694117069244385,0.2874146103858948,0.8710225224494934,0.5,10,relu,sigmoid
5,13.410658836364746,0.13058829307556152,13.435497283935547,0.1289774477481842,0.5,10,relu,tanh
5,0.257056325674057,0.8950858116149902,0.24548770487308502,0.9046441912651062,0.5,10,elu,sigmoid
5,0.2640189826488495,0.8924158215522766,0.2465372532606125,0.9017351269721985,0.5,10,elu,tanh
5,0.2223435491323471,0.9171631336212158,0.25924554467201233,0.9100762009620667,0.5,50,relu,sigmoid
5,0.23071041703224182,0.9130147099494934,0.28176215291023254,0.9086860418319702,0.5,50,relu,tanh
5,0.2401045560836792,0.9058210849761963,0.23744560778141022,0.9055709838867188,0.5,50,elu,sigmoid
5,0.255417138338089,0.8994439244270325,0.25019487738609314,0.8920553922653198,0.5,50,elu,tanh
5,0.21173934638500214,0.9215212464332581,0.23491796851158142,0.9091494083404541,0.5,100,relu,sigmoid
5,0.21671709418296814,0.9212343692779541,0.2504059076309204,0.9085830450057983,0.5,100,relu,tanh
5,0.23699155449867249,0.9069244265556335,0.23627713322639465,0.9056224822998047,0.5,100,elu,sigmoid
5,0.25656402111053467,0.9022904634475708,0.2634924650192261,0.9049016833305359,0.5,100,elu,tanh
5,0.17884279787540436,0.9361622333526611,0.23998191952705383,0.9089949727058411,0.5,500,relu,sigmoid
5,0.24339722096920013,0.9273025989532471,0.28034722805023193,0.9085057973861694,0.5,500,relu,tanh
5,0.23859800398349762,0.9060527682304382,0.23552191257476807,0.9073730707168579,0.5,500,elu,sigmoid
5,2.862654209136963,0.8136501908302307,2.7051448822021484,0.8241170048713684,0.5,500,elu,tanh
5,0.35470426082611084,0.8694117069244385,0.3420778810977936,0.8710225224494934,0.75,10,relu,sigmoid
5,0.34854990243911743,0.8694117069244385,0.34882593154907227,0.8710225224494934,0.75,10,relu,tanh
5,0.3009464740753174,0.8838982582092285,0.2519560158252716,0.8931881189346313,0.75,10,elu,sigmoid
5,0.32163313031196594,0.8802462816238403,0.25486207008361816,0.8865204453468323,0.75,10,elu,tanh
5,0.2574770152568817,0.8991570472717285,0.30813679099082947,0.9034857153892517,0.75,50,relu,sigmoid
5,0.26151973009109497,0.8960236310958862,0.39456865191459656,0.9037688970565796,0.75,50,relu,tanh
5,0.2541823089122772,0.8966636061668396,0.2563973665237427,0.87400883436203,0.75,50,elu,sigmoid
5,0.29810214042663574,0.8810185790061951,0.252108633518219,0.9054937958717346,0.75,50,elu,tanh
5,0.2522127628326416,0.9062293171882629,0.33557674288749695,0.9041035771369934,0.75,100,relu,sigmoid
5,0.2527776062488556,0.9063727259635925,0.39056310057640076,0.8939089775085449,0.75,100,relu,tanh
5,0.2481728494167328,0.9020808339118958,0.25173795223236084,0.9051333665847778,0.75,100,elu,sigmoid
5,0.2816530168056488,0.891775906085968,0.26941096782684326,0.9054165482521057,0.75,100,elu,tanh
5,0.2308811992406845,0.912716805934906,0.23885634541511536,0.9021985530853271,0.75,500,relu,sigmoid
5,0.289689838886261,0.9086345434188843,0.2568979561328888,0.909458339214325,0.75,500,relu,tanh
5,0.2524687647819519,0.9021801352500916,0.25876614451408386,0.8920811414718628,0.75,500,elu,sigmoid
5,2.1216206550598145,0.8507546782493591,3.0430924892425537,0.801153302192688,0.75,500,elu,tanh
